Order Date,Website,Purchase Order Number,Shipment Date,Order Status,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
10/1/21,Amazon.com,,10/3/21,Shipped,$16.49 ,$0.00 ,$1.69 ,$0.00 ,$1.69 ,$18.18 
10/2/21,Amazon.com,,10/3/21,Shipped,$20.41 ,$0.00 ,$2.09 ,$0.00 ,$2.09 ,$22.50 
10/28/21,Amazon.com,,10/28/21,Shipped,$14.99 ,$0.00 ,$1.54 ,$0.00 ,$1.54 ,$16.53 
11/3/21,Amazon.com,,11/5/21,Shipped,$21.90 ,$0.00 ,$2.24 ,$0.00 ,$2.24 ,$24.14 
11/3/21,Amazon.com,,11/4/21,Shipped,$14.99 ,$0.00 ,$1.54 ,$0.00 ,$1.54 ,$16.53 
11/16/21,Amazon.com,,11/16/21,Shipped,$20.99 ,$0.00 ,$2.12 ,$0.00 ,$2.12 ,$23.11 
11/16/21,Amazon.com,,11/16/21,Shipped,$9.99 ,$0.00 ,$1.01 ,$0.00 ,$1.01 ,$11.00 
11/26/21,Amazon.com,,11/27/21,Shipped,$31.78 ,$0.00 ,$3.22 ,$0.44 ,$3.22 ,$34.56 
11/29/21,Amazon.com,,11/29/21,Shipped,$12.99 ,$0.00 ,$0.64 ,$6.63 ,$0.64 ,$7.00 
11/29/21,Amazon.com,,11/30/21,Shipped,$164.96 ,$0.00 ,$16.66 ,$0.00 ,$16.66 ,$181.62 
12/5/21,Amazon.com,,12/12/21,Shipped,$23.99 ,$0.00 ,$2.30 ,$1.20 ,$2.30 ,$25.09 
12/6/21,Amazon.com,,12/7/21,Shipped,$109.99 ,$0.00 ,$9.59 ,$15.00 ,$9.59 ,$104.58 
12/12/21,Amazon.com,,12/14/21,Shipped,$49.97 ,$0.00 ,$4.88 ,$2.30 ,$4.88 ,$52.55 
12/12/21,Amazon.com,,12/15/21,Shipped,$35.99 ,$0.00 ,$3.69 ,$0.00 ,$3.69 ,$39.68 
12/20/21,Amazon.com,,12/21/21,Shipped,$8.99 ,$0.00 ,$0.92 ,$0.00 ,$0.92 ,$9.91 
1/11/22,Amazon.com,,1/11/22,Shipped,$62.87 ,$0.00 ,$5.89 ,$0.00 ,$5.89 ,$68.76 
1/17/22,Amazon.com,,1/18/22,Shipped,$14.70 ,$0.00 ,$1.38 ,$0.00 ,$1.38 ,$16.08 
1/17/22,Amazon.com,,1/21/22,Shipped,$11.99 ,$0.00 ,$1.12 ,$0.00 ,$1.12 ,$13.11 
1/18/22,Amazon.com,,1/19/22,Shipped,$18.99 ,$0.00 ,$1.95 ,$0.00 ,$1.95 ,$20.94 
1/22/22,Amazon.com,,1/24/22,Shipped,$11.58 ,$0.00 ,$1.12 ,$0.69 ,$1.12 ,$12.01 
1/26/22,Amazon.com,,2/3/22,Shipped,$28.99 ,$0.00 ,$2.97 ,$0.00 ,$2.97 ,$31.96 
1/27/22,Amazon.com,,2/11/22,Shipped,$31.99 ,$0.00 ,$3.28 ,$0.00 ,$3.28 ,$35.27 
2/2/22,Amazon.com,,2/2/22,Shipped,$19.95 ,$0.00 ,$1.87 ,$0.00 ,$1.87 ,$21.82 
2/9/22,Amazon.com,,2/14/22,Shipped,$31.99 ,$0.00 ,$3.28 ,$0.00 ,$3.28 ,$35.27 
2/11/22,Amazon.com,,2/20/22,Shipped,$35.99 ,$0.00 ,$3.69 ,$0.00 ,$3.69 ,$39.68 
2/13/22,Amazon.com,,2/14/22,Shipped,$35.48 ,$0.00 ,$3.33 ,$3.55 ,$3.33 ,$35.26 
2/22/22,Amazon.com,,2/23/22,Shipped,$12.99 ,$0.00 ,$1.33 ,$0.00 ,$1.33 ,$14.32 
3/11/22,Amazon.com,,3/11/22,Shipped,$37.39 ,$0.00 ,$3.51 ,$0.00 ,$3.51 ,$40.90 
3/17/22,Amazon.com,,3/17/22,Shipped,$19.31 ,$0.00 ,$1.95 ,$0.00 ,$1.95 ,$21.26 
3/19/22,Amazon.com,,3/19/22,Shipped,$25.99 ,$0.00 ,$2.44 ,$0.00 ,$2.44 ,$28.43 
3/25/22,Amazon.com,,3/26/22,Shipped,$34.99 ,$0.00 ,$3.28 ,$0.00 ,$3.28 ,$38.27 
4/6/22,Amazon.com,,4/6/22,Shipped,$39.95 ,$0.00 ,$3.75 ,$0.00 ,$3.75 ,$43.70 
4/7/22,Amazon.com,,4/8/22,Shipped,$10.99 ,$0.00 ,$1.13 ,$0.00 ,$1.13 ,$12.12 
4/7/22,Amazon.com,,4/8/22,Shipped,$5.99 ,$0.00 ,$0.61 ,$0.00 ,$0.61 ,$6.60 
4/14/22,Amazon.com,,4/14/22,Shipped,$8.99 ,$0.00 ,$0.92 ,$0.00 ,$0.92 ,$9.91 
